CUBE_STRUCTURE_ITEM_ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED
ANCRDT_INSTRMNT_C_1__CMMTMNT_INCPTN,ANCRDT_INSTRMNT_C_1,CMMTMNT_INCPTN,CMMTMNT_INCPTN,O,17,MNTRY_NN_NGTV_2D,,,,,false,false,"Observed agent's maximum exposure to credit risk on the inception date of the instrument, without taking into account any protection held or other credit enhancements. Total commitment amount on the inception date is established during the approval proces",true
ANCRDT_JNT_LBLTS_C_1__ENTTY_RIAD_CD,ANCRDT_JNT_LBLTS_C_1,ENTTY_RIAD_CD,ENTTY_RIAD_CD,D,3,STRNG_RSTRCTD_ID_50,,,B,,false,true,,true
ANCRDT_FNNCL_C_1__NEVS_DT_DFLT_STTS,ANCRDT_FNNCL_C_1,NEVS_DT_DFLT_STTS,NEVS,A,106,NEVS_CLLCTN,,,,DT_DFLT_STTS,false,false,,true
ANCRDT_ENTTY_INSTRMNT_C_1__ENTTY_RL,ANCRDT_ENTTY_INSTRMNT_C_1,ENTTY_RL,ENTTY_RL,D,6,ENTTY_RL_ANCRDT,,,B,,false,true,Role of the entities in an instrument.,true
ANCRDT_ACCNTNG_C_1__DT_PRFRMNG_STTS,ANCRDT_ACCNTNG_C_1,DT_PRFRMNG_STTS,DT_PRFRMNG_STTS,O,14,DT_FLL_YYYY_MM_DD,,,,,false,false,The date on which the performing status as reported in 'performing status of the instrument' is considered to have been established or changed.,true
ANCRDT_FNNCL_C_1__OFF_BLNC_SHT_AMNT,ANCRDT_FNNCL_C_1,OFF_BLNC_SHT_AMNT,OFF_BLNC_SHT_AMNT,O,15,MNTRY_NN_NGTV_2D,,,,,false,false,Total nominal amount of off-balance-sheet exposures. This includes any commitment to lend before considering conversion factors and credit risk mitigation techniques. It is the amount that best represents the institution's maximum exposure to credit risk,true
ANCRDT_FNNCL_C_1__NEVS_ACCRD_INTRST,ANCRDT_FNNCL_C_1,NEVS_ACCRD_INTRST,NEVS,A,112,NEVS_CLLCTN,,,,ACCRD_INTRST,false,false,,true
ANCRDT_ENTTY_DFLT_C_1__DT_DFLT_STTS,ANCRDT_ENTTY_DFLT_C_1,DT_DFLT_STTS,DT_DFLT_STTS,O,6,DT_FLL_YYYY_MM_DD,,,,,false,false,"The date on which the default status, as reported in the data attribute 'Default status', is considered to have arisen.",true
ANCRDT_ENTTY_DFLT_C_1__ENTTY_RIAD_CD,ANCRDT_ENTTY_DFLT_C_1,ENTTY_RIAD_CD,ENTTY_RIAD_CD,D,3,STRNG_RSTRCTD_ID_50,,,B,,false,true,,true
ANCRDT_ACCNTNG_C_1__NEVS_CRRYNG_AMNT,ANCRDT_ACCNTNG_C_1,NEVS_CRRYNG_AMNT,NEVS,A,113,NEVS_CLLCTN,,,,CRRYNG_AMNT,false,false,,true
ANCRDT_FNNCL_C_1__OTSTNDNG_NMNL_AMNT,ANCRDT_FNNCL_C_1,OTSTNDNG_NMNL_AMNT,OTSTNDNG_NMNL_AMNT,O,13,MNTRY_NN_NGTV_2D,,,,,false,false,"Principal amount outstanding at the end of the reporting reference date, including unpaid past due interest but excluding accrued interest. The outstanding nominal amount must be reported net of write-offs and write-downs as determined by the relevant accounting practices.",true
ANCRDT_ACCNTNG_C_1__NEVS_RCGNTN_STTS,ANCRDT_ACCNTNG_C_1,NEVS_RCGNTN_STTS,NEVS,A,119,NEVS_CLLCTN_WTHT_NA,,,,RCGNTN_STTS,false,false,,true
ANCRDT_ENTTY_RSK_C_1__OBSRVD_AGNT_CD,ANCRDT_ENTTY_RSK_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,U,,false,true,,true
ANCRDT_JNT_LBLTS_C_1__OBSRVD_AGNT_CD,ANCRDT_JNT_LBLTS_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,U,,false,true,,true
ANCRDT_PRTCTN_RCVD_C_1__RECL_PSTL_CD,ANCRDT_PRTCTN_RCVD_C_1,RECL_PSTL_CD,RECL_PSTL_CD,O,12,STRNG_LTN_EXT_255,RECL_PSTL_CD,,,,false,false,Postal code where the collateral is located.,true
ANCRDT_PRTCTN_RCVD_C_1__DT_PRTCTN_VL,ANCRDT_PRTCTN_RCVD_C_1,DT_PRTCTN_VL,DT_PRTCTN_VL,O,13,DT_FLL_YYYY_MM_DD,,,,,false,false,The date on which the latest appraisal or valuation of the protection was carried out prior to the reporting reference date.,true
ANCRDT_ENTTY_INSTRMNT_C_1__CNTRCT_ID,ANCRDT_ENTTY_INSTRMNT_C_1,CNTRCT_ID,CNTRCT_ID,D,4,STRNG_RSTRCTD_ID_60,,,B,,false,true,An identifier applied by the reporting agent to uniquely identify each contract. Each contract shouldÂ  have one contract identifier. This value will not change over time and cannot be used as the contract identifier for any other contract.,true
ANCRDT_FNNCL_C_1__NEVS_TRNSFRRD_AMNT,ANCRDT_FNNCL_C_1,NEVS_TRNSFRRD_AMNT,NEVS,A,110,NEVS_CLLCTN_WTHT_NA,,,,TRNSFRRD_AMNT,false,false,,true
ANCRDT_ACCNTNG_C_1__ACCNTNG_CLSSFCTN,ANCRDT_ACCNTNG_C_1,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,O,5,ACCNTNG_CLSSFCTN_ANCRDT_CLLCTN,,,,,false,false,Accounting portfolio where the instrument is recorded in accordance with the accounting standard â€” IFRS or national GAAP â€” under Regulation (EU) 2015/534 (ECB/2015/13) applied by the observed agent's legal entity.,true
ANCRDT_JNT_LBLTS_C_1__JNT_LBLTY_AMNT,ANCRDT_JNT_LBLTS_C_1,JNT_LBLTY_AMNT,JNT_LBLTY_AMNT,O,6,MNTRY_NN_NGTV_2D,,,,,false,false,Outstanding nominal amount for which each debtor is liable in relation to a single instrument where there are two or more debtors.,true
ANCRDT_INSTRMNT_C_1__NEVS_DT_STTLMNT,ANCRDT_INSTRMNT_C_1,NEVS_DT_STTLMNT,NEVS,A,105,NEVS_CLLCTN,,,,DT_STTLMNT,false,false,,true
ANCRDT_ACCNTNG_C_1__NEVS_FRBRNC_STTS,ANCRDT_ACCNTNG_C_1,NEVS_FRBRNC_STTS,NEVS,A,110,NEVS_CLLCTN_WTHT_NA,,,,FRBRNC_STTS,false,false,,true
ANCRDT_PRTCTN_RCVD_C_1__TYP_PRTCTN_VL,ANCRDT_PRTCTN_RCVD_C_1,TYP_PRTCTN_VL,TYP_PRTCTN_VL,O,7,TYP_PRTCTN_VL_ANCRDT_CLLCTN,,,,,false,false,Identification of the type of value provided in the data attribute 'Protection value'.,true
ANCRDT_INSTRMNT_C_1__NEVS_TYP_AMRTSTN,ANCRDT_INSTRMNT_C_1,NEVS_TYP_AMRTSTN,NEVS,A,125,NEVS_CLLCTN_WTHT_NA,,,,TYP_AMRTSTN,false,false,,true
ANCRDT_INSTRMNT_C_1__DT_LGL_FNL_MTRTY,ANCRDT_INSTRMNT_C_1,DT_LGL_FNL_MTRTY,DT_LGL_FNL_MTRTY,O,16,DT_FLL_YYYY_MM_DD,,,,,false,false,"The contractual maturity date of the instrument, taking into account any agreements amending initial contracts.",true
ANCRDT_ENTTY_DFLT_C_1__OBSRVD_AGNT_CD,ANCRDT_ENTTY_DFLT_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,U,,false,true,,true
ANCRDT_ACCNTNG_C_1__NEVS_PRDNTL_PRTFL,ANCRDT_ACCNTNG_C_1,NEVS_PRDNTL_PRTFL,NEVS,A,118,NEVS_CLLCTN,,,,PRDNTL_PRTFL,false,false,,true
ANCRDT_FNNCL_C_1__NEVS_ANNLSD_AGRD_RT,ANCRDT_FNNCL_C_1,NEVS_ANNLSD_AGRD_RT,NEVS,A,114,NEVS_CLLCTN,,,,ANNLSD_AGRD_RT,false,false,,true
ANCRDT_ACCNTNG_C_1__NEVS_SRC_ENCMBRNC,ANCRDT_ACCNTNG_C_1,NEVS_SRC_ENCMBRNC,NEVS,A,120,NEVS_CLLCTN_WTHT_NA,,,,SRC_ENCMBRNC,false,false,,true
ANCRDT_INSTRMNT_C_1__NEVS_SBRDNTD_DBT,ANCRDT_INSTRMNT_C_1,NEVS_SBRDNTD_DBT,NEVS,A,123,NEVS_CLLCTN_WTHT_NA,,,,SBRDNTD_DBT,false,false,,true
ANCRDT_ENTTY_DFLT_C_1__NEVS_DFLT_STTS,ANCRDT_ENTTY_DFLT_C_1,NEVS_DFLT_STTS,NEVS,A,105,NEVS_CLLCTN_WTHT_NA,,,,DFLT_STTS,false,false,,true
ANCRDT_ACCNTNG_C_1__NEVS_IMPRMNT_STTS,ANCRDT_ACCNTNG_C_1,NEVS_IMPRMNT_STTS,NEVS,A,106,NEVS_CLLCTN,,,,IMPRMNT_STTS,false,false,,true
ANCRDT_ACCNTNG_C_1__NEVS_PRFRMNG_STTS,ANCRDT_ACCNTNG_C_1,NEVS_PRFRMNG_STTS,NEVS,A,107,NEVS_CLLCTN_WTHT_NA,,,,PRFRMNG_STTS,false,false,,true
ANCRDT_INSTRMNT_C_1__NEVS_RPYMNT_RGHTS,ANCRDT_INSTRMNT_C_1,NEVS_RPYMNT_RGHTS,NEVS,A,122,NEVS_CLLCTN_WTHT_NA,,,,RPYMNT_RGHTS,false,false,,true
ANCRDT_FNNCL_C_1__DT_NXT_INTRST_RT_RST,ANCRDT_FNNCL_C_1,DT_NXT_INTRST_RT_RST,DT_NXT_INTRST_RT_RST,O,6,DT_FLL_YYYY_MM_DD,,,,,false,false,"The date that the next interest rate reset, as defined in Part 3 of Annex I to Regulation (EU) No 1071/2013 (ECB/2013/33), takes place. If the instrument is not subject to a future interest rate reset, its legal final maturity date will be reported.",true
ANCRDT_PRTCTN_RCVD_C_1__OBSRVD_AGNT_CD,ANCRDT_PRTCTN_RCVD_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,U,,false,true,,true
ANCRDT_INSTRMNT_C_1__SYNDCTD_CNTRCT_ID,ANCRDT_INSTRMNT_C_1,SYNDCTD_CNTRCT_ID,SYNDCTD_CNTRCT_ID,O,25,STRNG_RSTRCTD_ID_60,,,,,false,false,'Contract identifier' applied by the lead arranger of the syndicated contract to uniquely identify each contract. Each syndicated contract will have one 'syndicated contract identifier'. This value will not change over time and cannot be used by the lead,true
ANCRDT_INSTRMNT_C_1__NEVS_INTRST_RT_CP,ANCRDT_INSTRMNT_C_1,NEVS_INTRST_RT_CP,NEVS,A,119,NEVS_CLLCTN,,,,INTRST_RT_CP,false,false,,true
ANCRDT_INSTRMNT_C_1__NEVS_PYMNT_FRQNCY,ANCRDT_INSTRMNT_C_1,NEVS_PYMNT_FRQNCY,NEVS,A,111,NEVS_CLLCTN_WTHT_NA,,,,PYMNT_FRQNCY,false,false,,true
ANCRDT_ENTTY_INSTRMNT_C_1__INSTRMNT_ID,ANCRDT_ENTTY_INSTRMNT_C_1,INSTRMNT_ID,INSTRMNT_ID,D,5,STRNG_RSTRCTD_ID_60,,,B,,false,true,An identifier applied by the reporting agent to uniquely identify each instrument under a single contract. Each instrument must have one instrument identifier. This value will not change over time and cannot be used as the instrument identifier for any other instrument under the same contract.,true
ANCRDT_INSTRMNT_C_1__NEVS_TYP_INSTRMNT,ANCRDT_INSTRMNT_C_1,NEVS_TYP_INSTRMNT,NEVS,A,126,NEVS_CLLCTN_WTHT_NA,,,,TYP_INSTRMNT,false,false,,true
ANCRDT_PRTCTN_RCVD_C_1__NEVS_PRTCTN_VL,ANCRDT_PRTCTN_RCVD_C_1,NEVS_PRTCTN_VL,NEVS,A,112,NEVS_CLLCTN_WTHT_NA,,,,PRTCTN_VL,false,false,,true
ANCRDT_INSTRMNT_C_1__NEVS_PRJCT_FNNC_LN,ANCRDT_INSTRMNT_C_1,NEVS_PRJCT_FNNC_LN,NEVS,A,115,NEVS_CLLCTN_WTHT_NA,,,,PRJCT_FNNC_LN,false,false,,true
ANCRDT_ACCNTNG_C_1__NEVS_DT_FRBRNC_STTS,ANCRDT_ACCNTNG_C_1,NEVS_DT_FRBRNC_STTS,NEVS,A,108,NEVS_CLLCTN_WTHT_NA,,,,DT_FRBRNC_STTS,false,false,,true
ANCRDT_ACCNTNG_C_1__ACCMLTD_CHNGS_FV_CR,ANCRDT_ACCNTNG_C_1,ACCMLTD_CHNGS_FV_CR,ACCMLTD_CHNGS_FV_CR,O,12,MNTRY_NN_NGTV_2D,,,,,false,false,Accumulated changes in fair value due to credit risk in accordance with Part 2.46 of Annex V to Implementing Regulation (EU) No 680/2014.,true
ANCRDT_PRTCTN_RCVD_C_1__NEVS_RECL_CNTRY,ANCRDT_PRTCTN_RCVD_C_1,NEVS_RECL_CNTRY,NEVS,A,109,NEVS_CLLCTN,,,,RECL_CNTRY,false,false,,true
ANCRDT_PRTCTN_RCVD_C_1__ORGNL_PRTCTN_VL,ANCRDT_PRTCTN_RCVD_C_1,ORGNL_PRTCTN_VL,ORGNL_PRTCTN_VL,O,15,MNTRY_NN_NGTV_2D,,,,,false,false,The protection's fair value at the date when it was originally received as a credit protection.,true
