ldm_entity,related_entities
CVRD_BND_PRGRMM_RLVNT_RGM_EXCSS,CVRD_BND_PRGRM:ASST_PL
DBT_SCRTY_ISSD,SCRTY_EXCHNG_TRDBL_DRVTV
DBT_SCRTY_ISSD_HDG,DBT_SCRTY_ISSD:SCRTY_EXCHNG_TRDBL_DRVTV
DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT,DBT_SCRTY_ISSD:SCRTY_EXCHNG_TRDBL_DRVTV:PRTCTN_ARRNGMNT_RL:PRTCTN_ARRNGMNT
DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT,DBT_SCRTY_ISSD:SCRTY_EXCHNG_TRDBL_DRVTV:TRDTNL_SCRTSTN:ASST_PL:CRDT_FCLTY:FNNCL_CNTRCT:SYNDCTD_CNTRCT
ENTTY_RL,PRTY:GRP
EQT_INSTRMNT_NT_SCRT_HDG,INSTRMNT:BLNC_SHT_NTTNG:CRDT_FCLTY:FNNCL_CNTRCT:SYNDCTD_CNTRCT
ETD_LBLTY_PSTN_SNTHTC_SCRTSTN_ASSGNMNT,EXCHNG_TRDBL_DRVTV_PSTN_RL:EXCHNG_TRDBL_DRVTV_PSTN:ENTTY_RL:PRTY:SCRTY_EXCHNG_TRDBL_DRVTV:SNTHTC_SCRTSTN:ASST_PL
EXCHNG_TRDBL_DRVTV_PSTN,ENTTY_RL:PRTY:GRP:SCRTY_EXCHNG_TRDBL_DRVTV
EXCHNG_TRDBL_DRVTV_PSTN_PRTCN_ARRNGMNT_ASSGNMNT,EXCHNG_TRDBL_DRVTV_PSTN:ENTTY_RL:PRTY:GRP:SCRTY_EXCHNG_TRDBL_DRVTV:PRTCTN_ARRNGMNT_RL:PRTCTN_ARRNGMNT
EXCHNG_TRDBL_DRVTV_PSTN_RL,EXCHNG_TRDBL_DRVTV_PSTN:ENTTY_RL:PRTY:GRP:SCRTY_EXCHNG_TRDBL_DRVTV
FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS,EXCHNG_TRDBL_DRVTV_PSTN:ENTTY_RL:PRTY:GRP:SCRTY_EXCHNG_TRDBL_DRVTV:RSK_FAC_SA
FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_FR_SCRTY_PSTNS,RSK_FAC_SA:ENTTY_RL:PRTY:GRP:SCRTY_EXCHNG_TRDBL_DRVTV:SCRTY_PSTN
